"StoryDate","Source","Length","SubjectMatter","GeneralTopic","LeadNewsmaker","LeadNewsmaker2","PartOfDay"
20120221,1,1249,1059,2,99,99
20120221,1,1301,1458,24,99,99
20120223,1,1207,1059,2,"Santorum, Rick","Romney, Mitt"
20120223,1,1246,999,14,99,99
20120223,1,1728,8883,26,"Ochlik, Remi","Colvin, Marie"
20120223,1,1093,24,18,99,"McDonnell, Bob"
20120223,1,2072,999,24,99,"Rosset, Barney"
20120223,1,1300,306,8,99,99
20120226,1,1431,17,25,99,99
20120226,1,1965,8883,25,99,99
20120226,1,1635,1059,2,99,"Romney, Mitt"
20120226,1,1125,1059,2,99,"Romney, Mitt"
20120226,1,2516,999,14,99,99
20120226,1,962,999,15,99,99
20120227,1,1332,17,25,99,99
20120227,1,1272,42,26,99,99
20120227,1,1106,1059,2,"Romney, Mitt","Santorum, Rick"
20120227,1,2897,862,8,99,"Obama, Barack"
20120227,1,1100,2,17,99,99
20120227,1,1411,681,15,99,99
20120229,1,1241,1059,2,99,"Romney, Mitt"
20120229,1,979,5,18,99,99
20120229,1,1328,8883,26,99,99
20120229,1,1248,18,25,99,99
20120229,1,1678,999,21,99,99
20120302,1,1419,8883,26,99,99
20120302,1,1164,222,14,99,99
20120302,1,1012,1462,19,99,99
20120302,1,1295,1059,2,99,"Romney, Mitt"
20120302,1,1772,595,26,99,99
20120302,1,1264,901,12,99,99
20120306,1,1184,18,25,"Netanyahu, Benjamin","Obama, Barack"
20120306,1,1197,1059,2,"Santorum, Rick","Romney, Mitt"
20120306,1,1304,999,18,"Koch, David","Koch, Charles"
20120306,1,1314,999,14,99,99
20120306,1,1431,222,14,99,99
20120308,1,1721,17,25,99,99
20120308,1,1279,14,26,99,99
20120308,1,1320,1059,2,99,"Obama, Barack"
20120308,1,1395,222,14,99,99
20120308,1,1048,282,22,99,99
20120308,1,1175,1059,2,99,"Romney, Mitt"
20120311,1,1278,1059,2,99,"Obama, Barack"
20120311,1,1223,862,1,99,99
20120311,1,1236,862,7,99,99
20120311,1,1709,17,25,99,99
20120311,1,2912,999,1,99,99
20120312,1,1462,17,25,99,99
20120312,1,1235,1059,2,"Gingrich, Newt","Romney, Mitt"
20120312,1,1532,222,14,99,"Roberts, John"
20120312,1,2319,8883,26,99,"Al-Shater, Khairat"
20120312,1,1052,862,8,99,"Jones, Shirley"
20120312,1,1248,999,22,99,99
20120314,1,1248,1059,2,99,"Romney, Mitt"
20120314,1,1647,1059,2,99,"Obama, Barack"
20120314,1,1638,999,26,99,99
20120314,1,1138,22,9,99,99
20120314,1,1185,999,7,99,99
20120316,1,1222,17,25,99,"Karzai, Hamid"
20120316,1,1885,594,7,99,99
20120316,1,1387,1059,2,99,99
20120316,1,878,17,25,99,"Browne, John Henry"
20120316,1,1055,999,11,99,99
20120316,1,728,999,15,99,99
20120320,1,1135,18,25,99,99
20120320,1,1402,840,7,99,99
20120320,1,1245,222,14,99,99
20120320,1,1212,1243,26,99,99
20120320,1,1396,594,26,99,"Bo, Xilai"
20120320,1,1359,999,26,99,"Moulin, Ginette Heilbronn"
20120322,1,1272,23,4,99,99
20120322,1,1335,1468,22,99,99
20120322,1,1243,1472,26,99,"Merah, Mohammed"
20120322,1,1460,222,14,99,99
20120322,1,1171,999,22,99,"Tebow, Tim"
20120322,1,1129,1059,2,99,"Romney, Mitt"
20120325,1,1234,222,14,99,99
20120325,1,6316,999,22,99,99
20120325,1,1295,17,25,99,99
20120325,1,873,272,1,99,"Cheney, Dick"
20120325,1,1863,1059,2,99,"Romney, Mitt"
20120325,1,1487,1243,26,99,99
20120326,1,1326,222,14,"Clement, Paul","Verrilli, Donald"
20120326,1,1226,100,26,99,99
20120326,1,1111,1287,2,"Boswell, Leonard","Latham, Tom"
20120326,1,3784,222,14,99,"Garg, Rajiv"
20120326,1,1300,1005,26,99,99
20120326,1,879,1243,26,99,"Buckley, Frank"
20120328,1,1283,222,14,99,99
20120328,1,1189,901,12,99,99
20120328,1,1126,222,14,99,99
20120328,1,1197,344,26,"Barak, Ehud","Netanyahu, Benjamin"
20120328,1,1040,681,15,99,99
20120328,1,1398,1059,2,99,99
20120330,1,1236,594,7,99,99
20120330,1,1271,594,7,99,"Gu, Kaiyuan"
20120330,1,1175,901,12,99,99
20120330,1,1166,222,4,99,"Kennedy, Anthony"
20120330,1,1138,1329,26,"Fateh, Amal Ahmad Abdul","bin Laden, Osama"
20120330,1,1026,999,21,99,99
20120403,1,1261,23,5,99,99
20120403,1,2973,999,1,99,"Obama Administration"
20120403,1,1367,8883,26,99,99
20120403,1,1274,862,8,99,99
20120403,1,1407,999,22,99,99
20120403,1,1204,1287,2,99,"Kerrey, Bob"
20120405,1,1116,1059,8,"Ryan, Paul","Romney, Mitt"
20120405,1,1067,1481,14,99,99
20120405,1,1206,18,25,99,99
20120405,1,1132,999,26,99,99
20120405,1,1335,862,8,99,"Christie, Chris"
20120405,1,1189,999,21,99,99
20120408,1,2750,862,18,99,99
20120408,1,1499,594,25,99,99
20120408,1,1699,1059,25,"Netanyahu, Benjamin","Romney, Mitt"
20120408,1,1504,18,25,99,99
20120408,1,1155,999,15,99,99
20120408,1,1156,999,26,99,99
20120409,1,1394,17,25,99,99
20120409,1,1297,862,8,99,99
20120409,1,2652,222,14,99,99
20120409,1,1334,1059,2,"Obama, Barack","Romney, Mitt"
20120409,1,1058,1475,21,99,99
20120409,1,2446,1489,24,99,"Wallace, Mike"
20120411,1,1364,1059,2,"Santorum, Rick","Romney, Mitt"
20120411,1,1664,594,26,"Heywood, Neil","Bo, Xilai"
20120411,1,935,862,7,99,99
20120411,1,1179,862,7,99,99
20120411,1,1358,2,21,99,99
20120411,1,1172,207,22,"Castro, Fidel","Guillen, Ozzie"
20120413,1,1128,1059,2,"Obama, Barack","Romney, Mitt"
20120413,1,1279,222,14,99,99
20120413,1,1352,1243,26,99,99
20120413,1,1426,16,25,99,99
20120413,1,1468,594,26,"Gu, Kailai","Bo, Xilai"
20120417,1,1335,17,25,99,99
20120417,1,1291,999,24,99,99
20120417,1,1694,594,26,99,"Bo, Guagua"
20120417,1,1460,1287,2,99,"Lugar, Richard"
20120417,1,1308,862,8,"Piketty, Thomas","Saez, Emmanuel"
20120419,1,1214,1059,2,"Obama, Barack","Romney, Mitt"
20120419,1,1096,1059,2,"Romney, Mitt","Obama, Barack"
20120419,1,1500,1493,1,99,99
20120419,1,2305,1495,24,99,"Clark, Dick"
20120419,1,1185,999,7,99,99
20120422,1,8124,999,7,99,"Zapata, Sergio Cicero"
20120422,1,1872,999,2,99,99
20120422,1,1263,1059,2,99,"Obama, Barack"
20120422,1,1255,100,26,99,99
20120422,1,1189,862,7,99,99
20120423,1,2068,818,1,99,"Obama, Barack"
20120423,1,1274,1243,26,"Sarkozy, Nicolas","Hollande, Francois"
20120423,1,1312,17,25,99,99
20120423,1,1391,2,17,99,99
20120423,1,1480,999,13,99,99
20120423,1,1320,1287,2,"Espaillet, Adriano","Rangall, Charles"
20120425,1,1376,222,14,99,99
20120425,1,1327,1355,26,99,99
20120425,1,1369,999,16,99,99
20120425,1,1073,999,8,99,99
20120425,1,1248,681,15,99,99
20120427,1,1048,1551,7,99,99
20120427,1,1204,594,25,99,99
20120427,1,1012,1499,26,"Cooper, Eunice","Taylor, Charles"
20120427,1,1429,999,26,99,"Suzuki, Maomichi"
20120427,1,1303,17,18,99,"Strachman, Hyman"
20120427,1,1036,1059,2,99,"Gingrich, Newt"
20120501,1,1493,594,25,"Chen, Guangcheng","Obama, Barack"
20120501,1,1117,18,26,99,99
20120501,1,2015,1059,2,"Romney, Mitt","Romney, Tagg"
20120501,1,2551,22,9,99,99
20120503,1,1701,594,25,99,"Chen, Guangcheng"
20120503,1,1117,999,21,99,99
20120503,1,1584,1059,2,99,"Grenell, Richard"
20120503,1,1748,594,25,99,"Chen, Guangcheng"
20120503,1,1134,761,11,99,99
20120503,1,1748,1329,25,99,"Afridi, Shakil"
20120506,1,1588,999,18,99,99
20120506,1,1348,5,6,"Mohammed, Khalid Shaikh","bin Attash, Walid"
20120506,1,3036,999,14,"French, Ruth","French, Michael"
20120506,1,1284,999,15,99,99
20120506,1,1308,1059,2,"Romney, Mitt","Obama, Barack"
20120506,1,1218,862,8,99,99
20120507,1,1406,999,26,"Sarkozy, Nicolas","Hollande, Francois"
20120507,1,1202,3,16,"Obama, Barack","Biden, Joe"
